
============================================================
[DP Calibration]
  Target ε     = 8.0
  Target δ     = 1e-05
  Num rounds   = 25
  Sampling q   = 0.600 (3/5 clients)
  → Calibrated σ = 1.6701
============================================================

[Verification] σ=1.6701 → ε=8.0089 at α=3.0
               δ=1e-05, rounds=25, q=0.600

!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>
!!!!!!!!!!!!!!!client model!!!!!!!!!!!!!!!!!!
<class 'transformers.models.bert.modeling_bert.BertModel'>

[DP-FedRAG] Starting training with formal privacy guarantee...
<class 'transformers.models.bert.modeling_bert.BertModel'>
[DP-Client 2] step 4/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.6788
[DP-Client 2] step 8/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.8330
[DP-Client 2] step 12/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.4666
[DP-Client 2] step 16/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.1405
[DP-Client 2] step 20/22, C=1.9316, σ=1.6700732421874998, ‖∇‖=4219.3070
[DP-Client 3] step 0/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7063.6046
[DP-Client 3] step 3/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7062.2712
[DP-Client 3] step 6/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7062.6531
[DP-Client 3] step 9/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7063.4470
[DP-Client 3] step 12/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7063.2825
[DP-Client 3] step 15/16, C=3.2334, σ=1.6700732421874998, ‖∇‖=7062.8313
[DP-Client 4] step 0/50, C=2.4638, σ=1.6700732421874998, ‖∇‖=5381.6427
[DP-Client 4] step 10/50, C=2.4638, σ=1.6700732421874998, ‖∇‖=5381.5835
[DP-Client 4] step 20/50, C=2.4638, σ=1.6700732421874998, ‖∇‖=5381.8257
[DP-Client 4] step 30/50, C=2.4638, σ=1.6700732421874998, ‖∇‖=5381.5222
[DP-Client 4] step 40/50, C=2.4638, σ=1.6700732421874998, ‖∇‖=5381.8744
[DP-Client 0] step 0/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6500.8678
[DP-Client 0] step 2/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6500.7697
[DP-Client 0] step 4/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6500.6908
[DP-Client 0] step 6/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6501.1261
[DP-Client 0] step 8/11, C=2.9759, σ=1.6700732421874998, ‖∇‖=6500.1922
